City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
186,Kahului,US,20.8947,-156.47,73.85,78,0,0.0,clear sky
187,Portland,US,45.5234,-122.6762,38.84,73,0,1.99,clear sky
188,Marquette,US,46.5333,-87.6335,22.68,81,99,10.83,light snow
189,Saurimo,AO,-9.6608,20.3916,89.92,43,75,9.22,broken clouds
190,Tongliao,CN,43.6125,122.2653,10.42,85,3,7.02,clear sky
191,Adrar,MR,20.5022,-10.0711,82.81,7,94,13.6,overcast clouds
192,Hulan,CN,45.9833,126.6,5.11,99,83,5.59,broken clouds
193,Simbahan,PH,6.3032,120.5836,81.64,82,51,9.55,broken clouds
194,Rongcheng,CN,30.634,117.8517,39.72,97,100,5.64,light rain
195,Luderitz,NA,-26.6481,15.1594,74.75,61,0,29.82,clear sky
196,Ngunguru,NZ,-35.6167,174.5,60.17,68,91,20.62,overcast clouds
197,Acapulco,MX,16.8634,-99.8901,73.22,88,40,3.44,scattered clouds
198,Nicolas Bravo,MX,18.45,-88.9167,68.88,95,51,2.48,broken clouds
199,Marysville,US,48.0518,-122.1771,38.41,91,100,1.01,fog
200,Oissel,FR,49.3333,1.1,48.04,83,100,11.5,overcast clouds
201,Nalut,LY,30.3333,10.85,53.24,20,98,6.06,overcast clouds
202,Tintesti,RO,45.0667,26.8667,40.42,46,38,10.36,scattered clouds
203,Ayan,RU,56.45,138.1667,-7.37,79,75,10.47,broken clouds
204,Nouadhibou,MR,20.931,-17.0347,67.98,56,97,21.85,overcast clouds
205,Narsaq,GL,60.9167,-46.05,28.62,72,100,21.39,light snow
206,Geraldton,AU,-28.7667,114.6,74.12,78,0,25.32,clear sky
207,Lompoc,US,34.6391,-120.4579,52.84,87,0,5.75,clear sky
208,Dolores,AR,-36.3132,-57.6792,67.6,48,5,12.28,clear sky
209,Concepcion,CL,-36.827,-73.0498,58.8,94,100,5.75,overcast clouds
210,Bonthe,SL,7.5264,-12.505,87.87,54,9,11.83,clear sky
211,College,US,64.8569,-147.8028,-10.41,76,40,0.0,scattered clouds
212,East London,ZA,-33.0153,27.9116,79.25,78,52,8.01,broken clouds
213,Ipubi,BR,-7.6519,-40.1489,85.05,47,95,7.72,overcast clouds
214,Bubaque,GW,11.2833,-15.8333,78.75,59,10,6.62,clear sky
215,Trindade,BR,-16.6494,-49.4889,74.95,67,66,6.33,broken clouds
