City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
433,Araci,BR,89.19,overcast clouds,-11.3333,-38.9667,Pousada Posto Rodagem II
436,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
437,Sampit,ID,77.09,very heavy rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
445,Mogadishu,SO,84.07,clear sky,2.0371,45.3438,Hotel Juba
458,Saint-Joseph,RE,82.76,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
461,Alice Springs,AU,83.75,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
463,Codajas,BR,84.27,broken clouds,-3.8367,-62.0569,Atlântic Hotel
467,Kununurra,AU,80.58,scattered clouds,-15.7667,128.7333,Hotel Kununurra
468,Uruacu,BR,78.31,overcast clouds,-14.5247,-49.1408,Cassius Hotel
472,Sinnamary,GF,78.75,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
473,Natal,BR,83.05,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
481,La Primavera,CO,85.69,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
482,Pauini,BR,81.01,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
483,Cairns,AU,80.06,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
484,Marsh Harbour,BS,75.13,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
493,Biak,ID,77.47,overcast clouds,-0.9131,122.8766,Penginapan Kim
496,Humaita,BR,82.31,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
497,Mlonggo,ID,82.29,overcast clouds,-6.5333,110.7,Asia Metal Art
498,Sao Joao Da Barra,BR,86.09,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
499,Marsabit,KE,77.0,overcast clouds,2.3284,37.9899,Chicho Hotel
504,Antsohihy,MG,84.45,broken clouds,-14.8796,47.9875,Hotel de Ville
507,Katherine,AU,79.12,light rain,-14.4667,132.2667,Pine Tree Motel
513,Kwinana,AU,75.34,clear sky,-32.25,115.7667,Rockingham Apartments
514,Xai-Xai,MZ,83.52,light rain,-25.0519,33.6442,Complexo da Familia
515,Beitbridge,ZW,80.78,light rain,-22.2167,30.0,Beitbridge Express Hotel
516,Alugan,PH,80.08,broken clouds,12.2188,125.4808,JM Lodge
521,Namibe,AO,88.43,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
524,Morondava,MG,84.09,clear sky,-20.2833,44.2833,La Case Bambou
528,Coari,BR,79.95,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
529,Touros,BR,83.3,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
531,Alta Floresta,BR,76.82,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
539,Kindu,CD,78.98,moderate rain,-2.95,25.95,Résidence Okanda
540,Meulaboh,ID,79.65,moderate rain,4.1363,96.1285,Kost Pria
545,Vangaindrano,MG,76.78,broken clouds,-23.35,47.6,Hotel Fanilo
547,Karratha,AU,80.98,broken clouds,-20.7377,116.8463,ibis Styles Karratha
553,Eyl,SO,77.81,overcast clouds,7.9803,49.8164,Amiin Hotel
557,Nabire,ID,76.84,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
561,Garowe,SO,83.95,overcast clouds,8.4054,48.4845,Curubo Hotel
562,Mineiros,BR,78.98,overcast clouds,-17.5694,-52.5511,Pilões Palace Hotel
565,Cockburn Town,TC,77.47,clear sky,21.4612,-71.1419,Osprey Beach Hotel
580,Manaure,CO,77.11,clear sky,11.7751,-72.4445,Hotel Palaaima
584,Aquiraz,BR,80.22,moderate rain,-3.9014,-38.3911,Pousada Rua Camurupim
585,Mathathane,BW,75.63,overcast clouds,-22.2687,28.7495,Selepswe Resort
586,Port Blair,IN,82.44,haze,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
594,Bodden Town,KY,79.93,few clouds,19.2833,-81.25,Will T Place
596,Catuday,PH,79.27,few clouds,16.2923,119.8062,Benjie's Kubo & Cottages
602,Itarema,BR,82.11,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
609,Auki,SB,77.38,moderate rain,-8.7676,160.7034,Auki Motel
616,Mayumba,GA,81.07,scattered clouds,-3.432,10.6554,LIKWALE LODGE
617,Puerto Cabello,VE,76.82,scattered clouds,10.4731,-68.0125,Hotel Cumboto
623,Carutapera,BR,79.03,broken clouds,-1.195,-46.02,Lidera
625,Comodoro Rivadavia,AR,76.86,clear sky,-45.8667,-67.5,Austral Hotel
633,Acarau,BR,81.72,overcast clouds,-2.8856,-40.12,castelo pizzaria
637,Mana,GF,79.61,overcast clouds,5.6592,-53.7767,LE SAMANA
642,Itupiranga,BR,79.12,overcast clouds,-5.1347,-49.3267,Hotel Panorama
653,French Harbor,HN,80.01,broken clouds,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
655,Mocuba,MZ,79.47,moderate rain,-16.8392,36.9856,Phama Lodge
657,Tabou,CI,84.56,clear sky,4.423,-7.3528,hotêl doufoulougou
664,Kulhudhuffushi,MV,79.65,few clouds,6.6221,73.07,Haajy Guest House 1
667,Santo Andre,BR,86.13,few clouds,-23.6639,-46.5383,Blue Tree Towers All Suites Santo André
676,Maun,BW,79.11,light rain,-19.9833,23.4167,Enviro Villa
682,Weligama,LK,77.07,overcast clouds,5.9667,80.4167,Weligama Bay Resort
