City_ID,City,Cloudiness,Wind Speed,Country,Date,Lat,Lng,Max Temp,Humidity
170,Sorland,100,28.36,NO,2022-01-26 01:05:57,67.667,12.6934,37.33,96
171,Kloulklubed,95,19.69,PW,2022-01-26 01:05:58,7.0419,134.2556,82.9,73
172,Westport,0,3.0,US,2022-01-26 01:05:58,41.1415,-73.3579,35.74,56
173,Salym,100,3.62,RU,2022-01-26 01:05:58,60.0625,71.4789,-11.51,100
174,Baruun-Urt,6,5.12,MN,2022-01-26 01:05:58,46.6806,113.2792,-7.31,92
175,Saint-Louis,97,10.65,SN,2022-01-26 01:05:59,16.3333,-15.0,75.2,12
176,Necochea,46,6.06,AR,2022-01-26 01:05:59,-38.5473,-58.7368,76.03,83
177,Maldonado,100,6.71,UY,2022-01-26 01:01:27,-34.6667,-54.9167,77.23,97
178,Marawi,100,2.44,PH,2022-01-26 01:06:00,7.9986,124.2928,69.66,79
179,Hirara,99,17.49,JP,2022-01-26 01:06:00,24.8,125.2833,69.03,74
180,Turayf,0,8.21,SA,2022-01-26 01:06:00,31.6725,38.6637,40.28,58
181,Bilma,2,17.4,NE,2022-01-26 01:06:01,18.6853,12.9164,55.85,26
182,Port Blair,20,5.75,IN,2022-01-26 01:06:01,11.6667,92.75,80.64,74
183,Soyo,100,4.43,AO,2022-01-26 01:07:01,-6.1349,12.3689,76.84,81
184,Teguldet,100,5.28,RU,2022-01-26 01:07:02,57.3064,88.1667,9.41,95
185,Bathsheba,20,6.91,BB,2022-01-26 01:07:02,13.2167,-59.5167,74.01,83
186,Zhuhai,40,6.91,CN,2022-01-26 01:05:03,22.2769,113.5678,66.97,94
187,Rustenburg,77,5.61,ZA,2022-01-26 01:07:02,-25.6676,27.2421,68.61,64
188,Itaituba,100,0.58,BR,2022-01-26 01:02:08,-4.2761,-55.9836,74.37,93
189,Chuy,100,3.42,UY,2022-01-26 01:07:03,-33.6971,-53.4616,74.44,95
190,Marang,51,2.86,MY,2022-01-26 01:07:03,5.2056,103.2059,77.36,81
191,Baijiantan,80,0.69,CN,2022-01-26 01:07:03,45.6333,85.1833,2.39,95
192,Kamenka,89,5.19,RU,2022-01-26 01:07:04,51.3223,42.7678,2.34,100
193,Aksarka,100,12.62,RU,2022-01-26 01:07:04,66.5606,67.7975,12.58,94
194,Griffith,0,1.01,US,2022-01-26 01:07:04,41.5284,-87.4237,7.9,64
195,Barentu,9,5.01,ER,2022-01-26 01:07:04,15.1139,37.5928,63.18,77
196,Bhadasar,0,4.88,IN,2022-01-26 01:07:05,28.2833,74.3167,53.13,51
197,Peniche,0,9.1,PT,2022-01-26 01:07:05,39.3558,-9.3811,51.1,80
198,Sao Joao Da Barra,4,9.15,BR,2022-01-26 01:04:07,-21.6403,-41.0511,75.43,90
199,Kushiro,100,7.85,JP,2022-01-26 01:07:06,42.975,144.3747,24.66,90
200,Chapais,100,5.3,CA,2022-01-26 01:07:06,49.7834,-74.8492,-20.88,98
201,Kabanjahe,100,1.21,ID,2022-01-26 01:07:06,3.1001,98.4908,63.36,95
202,Polunochnoye,10,4.83,RU,2022-01-26 01:07:06,60.8697,60.4153,4.64,91
203,Kalmunai,89,1.61,LK,2022-01-26 01:07:07,7.4167,81.8167,72.81,80
204,Kushima,4,7.56,JP,2022-01-26 01:07:07,31.4583,131.2333,54.86,58
205,Narathiwat,55,4.72,TH,2022-01-26 01:07:07,6.3333,101.75,80.11,84
206,Bacolod,97,7.92,PH,2022-01-26 01:07:08,10.6667,122.95,81.52,79
207,Moerai,100,11.23,PF,2022-01-26 01:07:08,-22.4333,-151.3333,79.7,78
208,Kirensk,99,2.46,RU,2022-01-26 01:07:08,57.7853,108.1119,-8.48,100
209,Ijsselstein,100,5.66,NL,2022-01-26 01:07:08,52.0167,5.0333,39.25,86
210,Dunedin,99,8.01,NZ,2022-01-26 01:07:09,-45.8742,170.5036,56.8,84
211,Akyab,66,6.29,MM,2022-01-26 01:07:09,20.15,92.9,70.63,76
212,Srednekolymsk,95,6.08,RU,2022-01-26 01:07:09,67.45,153.6833,-33.9,100
213,Waipawa,74,5.44,NZ,2022-01-26 01:07:10,-41.4122,175.5153,70.43,59
214,San Quintin,19,5.68,MX,2022-01-26 01:07:10,30.4833,-115.95,58.39,73
215,Lompoc,0,10.36,US,2022-01-26 01:07:10,34.6391,-120.4579,62.13,82
216,Sambava,99,9.78,MG,2022-01-26 01:07:10,-14.2667,50.1667,75.63,85
217,Hanmer Springs,17,7.11,NZ,2022-01-26 01:07:11,-42.5167,172.8167,76.15,48
218,Jaruco,0,7.67,CU,2022-01-26 01:06:06,23.0431,-82.0108,72.63,87
219,Katangli,95,7.65,RU,2022-01-26 01:07:11,51.7102,143.2326,3.2,91
220,Bredasdorp,100,9.62,ZA,2022-01-26 01:07:12,-34.5322,20.0403,66.27,87
221,Port Moresby,100,3.83,PG,2022-01-26 01:07:12,-9.4431,147.1797,85.42,67
